date,exit_date,coin,entry_price,exit_price,gross_ret,net_ret
2019-02-24,2019-02-26,ADA,0.042456,0.043304,0.019974,0.017974
2019-03-21,2019-03-23,ADA,0.0529,0.063781,0.20569,0.20369
2019-03-24,2019-03-26,ADA,0.061704,0.06237,0.010793,0.008793
2019-04-03,2019-04-05,XRP,0.342234,0.361803,0.05718,0.05518
2019-04-03,2019-04-05,ETH,161.458801,165.514847,0.025121,0.023121
2019-04-04,2019-04-06,ADA,0.08737,0.090289,0.03341,0.03141
2019-04-05,2019-04-07,DOGE,0.00359,0.003418,-0.047911,-0.049911
2019-05-07,2019-05-09,LINK,0.544724,0.639849,0.17463,0.17263
2019-05-16,2019-05-18,ADA,0.088161,0.079104,-0.102733,-0.104733
2019-05-16,2019-05-18,XRP,0.419707,0.372736,-0.111914,-0.113914
2019-05-17,2019-05-19,LINK,0.887731,0.99435,0.120103,0.118103
2019-05-24,2019-05-26,LINK,1.33696,1.087065,-0.186913,-0.188913
2019-05-30,2019-06-01,LINK,1.024751,0.965132,-0.058179,-0.060179
2019-06-14,2019-06-16,LINK,1.676558,1.673432,-0.001865,-0.003865
2019-06-30,2019-07-02,LINK,3.446889,3.645436,0.057602,0.055602
2019-08-25,2019-08-27,ADA,0.049439,0.049839,0.008091,0.006091
2019-09-19,2019-09-21,XRP,0.302441,0.289443,-0.042977,-0.044977
2019-09-19,2019-09-21,XLM,0.081387,0.071119,-0.126163,-0.128163
2019-09-19,2019-09-21,ADA,0.052504,0.051922,-0.011085,-0.013085
2019-09-24,2019-09-26,LINK,1.735809,1.658976,-0.044264,-0.046264
2019-10-10,2019-10-12,LINK,2.635488,2.607123,-0.010763,-0.012763
2019-10-26,2019-10-28,ADA,0.040547,0.042363,0.044788,0.042788
2019-10-26,2019-10-28,XRP,0.293699,0.296007,0.007858,0.005858
2019-10-26,2019-10-28,DOGE,0.002622,0.002646,0.009153,0.007153
2019-11-24,2019-11-26,XLM,0.056881,0.058553,0.029395,0.027395
2019-11-25,2019-11-27,XRP,0.218622,0.225081,0.029544,0.027544
